Barcode NO.,Isc(A),Voc(V),Imp(A),Vmp(V),Pmax(W),Carton NO.,Pallet NO.,Cable Length,Connector,Country of Origin,Current Sorting
11702050531804,9.24,45.43,8.81,36.34,320.00,170520204437,20,1160mm,PV2b,CN,I3
11702050530985,9.24,45.46,9.06,35.23,319.20,170520204437,20,1160mm,PV2b,CN,I3
11702050531795,9.23,45.45,8.97,35.29,316.50,170520204437,20,1160mm,PV2b,CN,I3
11702050531339,9.16,45.53,8.86,35.99,318.90,170520204437,20,1160mm,PV2b,CN,I3
11702050531431,9.21,45.60,9.02,35.34,318.70,170520204437,20,1160mm,PV2b,CN,I3
11702050580468,9.29,45.34,8.85,35.89,317.60,170520204437,20,1160mm,PV2b,CN,I3
11702050580557,9.25,45.26,8.80,36.17,318.40,170520204437,20,1160mm,PV2b,CN,I3
11702050580555,9.23,45.35,8.81,36.28,319.70,170520204437,20,1160mm,PV2b,CN,I3
11702050580203,9.22,45.47,8.91,35.91,320.00,170520204437,20,1160mm,PV2b,CN,I3
11702050580400,9.19,45.21,8.90,35.65,317.30,170520204437,20,1160mm,PV2b,CN,I3
11702050580403,9.25,45.34,8.97,35.25,316.30,170520204437,20,1160mm,PV2b,CN,I3
11702050580478,9.20,45.25,8.76,36.18,316.80,170520204437,20,1160mm,PV2b,CN,I3
11702050580405,9.19,45.17,8.97,35.40,317.60,170520204437,20,1160mm,PV2b,CN,I3
11702050580506,9.23,45.34,8.79,36.28,319.00,170520204468,21,1160mm,PV2b,CN,I3
11702050580574,9.22,45.27,8.78,36.26,318.40,170520204468,21,1160mm,PV2b,CN,I3
11702050550258,9.31,45.55,8.86,36.08,319.80,170520204468,21,1160mm,PV2b,CN,I3
11702050550107,9.32,45.45,8.88,36.04,319.90,170520204468,21,1160mm,PV2b,CN,I3
11702050550162,9.27,45.47,8.89,36.01,320.00,170520204468,21,1160mm,PV2b,CN,I3
11702050580507,9.25,45.30,8.81,36.11,318.10,170520204468,21,1160mm,PV2b,CN,I3
11702050560062,9.28,45.51,8.87,36.00,319.50,170520204468,21,1160mm,PV2b,CN,I3
11702050580479,9.24,45.35,8.97,35.34,317.00,170520204468,21,1160mm,PV2b,CN,I3
11702050531175,9.20,45.52,8.77,36.37,319.10,170520204468,21,1160mm,PV2b,CN,I3
11702050531149,9.15,45.42,8.84,36.11,319.20,170520204468,21,1160mm,PV2b,CN,I3
11702050530200,9.23,45.64,8.95,35.71,319.60,170520204468,21,1160mm,PV2b,CN,I3
11702050530136,9.25,45.45,8.98,35.30,317.10,170520204468,21,1160mm,PV2b,CN,I3
11702050530215,9.19,45.54,8.90,35.88,319.40,170520204468,21,1160mm,PV2b,CN,I3
11702050530738,9.35,45.46,8.81,36.29,319.80,170520204468,21,1160mm,PV2b,CN,I3
11702050530322,9.26,45.24,8.77,36.37,319.10,170520204468,21,1160mm,PV2b,CN,I3
11702050481896,9.18,45.25,8.72,36.44,317.80,170520204468,21,1160mm,PV2b,CN,I3
